Name,University/Organization,No_of_times_as_TPC
Craig Partridge,BBN Technology,2
Akos Ledeczi,Vanderbilt University,10
Prabal Dutta,University of Michigan,3
Chenyang Lu,Washington University in St. Louis,3
Timothy Hnat,MD2K,1
Radu Stoleru,Texas A&M University,5
David Boyle,Imperial College London,2
Kay Römer,Graz University of Technology and Peter Volgyesi,1
Branislav Kusy,CSIRO,1
Julie McCann,Imperial College London,1
Robert F. Dickerson,University of Texas Austin,1
Amy Murphy,Bruno Kessler Foundation,1
Andreas Terzis,Google and Johns Hopkins University,1
Bill Kaiser,University of California Los Angeles,1
Bodhi Priyantha,Microsoft Research,2
Guoliang Xing,Michigan State University,1
Janos Sallai,Vanderbilt University,1
Jun Luo,Nanyang Technical University,1
Kannan Srinivasn,Ohio State University,1
Lama Nachman,Intel Research,2
Lin Zhong,Rice University,2
Mahadev Satyanarayanan,Carnegie Mellon University,2
Phil Levis,Stanford,3
Rajesh Balan,Singapore Management University,1
Romit Roy Choudhury,University of Illinois Urbana Champaign,1
Thomas Schmid,University of Utah,3
Wen Hu,CSIRO,3
Xiaofan “Fred” Jiang,Intel Labs,1
Yunhao Liu,Tsinghua University,1
Jan Beutel,ETH Zurich,3
Deepak Ganesan,University of Massachusetts Amherst,4
Pedro Jose Marron,University of Duisburg-Essen and Fraunhofer IAIS,1
Guillermo Barrenetxea,EPFL,1
John Regehr,Utah,3
Matt Welsh,Harvard University,3
Matthias Woehrle,ETH Zurich,1
Philipp Sommer,ETH Zurich,1
Monica Fricker,ETH Zurich,1
Niels Brouwers,TU Delft,1
Affan Syed,USC/ISI,1
Antonio Ruzzelli,University College Dublin,1
Anna Foerster,NetLab-SUPSI,1
Luca Mottola,SICS,3
Kay Roemer,University of Luebeck and ETH Zurich,1
Geoffrey Werner Challen,SUNY Buffalo,1
Xiaofan Jiang,University of California Berkeley,1
Alberto Cerpa,University of California Merced,5
Tanzeem Choudhary,Dartmouth University,1
Romit Roy Choudhury,Duke University,2
Phil Gibbons,Intel Research,2
Rick Han,University of Colorado Boulder,1
Raj Rajkumar,Carnegie Mellon University,2
Umakishore Ramachandran,Georgia Institute of Technology,1
Jakob Eriksson,University of Illinois Chicago,5
Kay Roemer,University of Lubeck and ETH Zurich,1
Andreas Savvides,Yale University,5
Jacky Shen,Microsoft Research,1
Prashant Shenoy,University of Massachusetts Amherst,1
Cormac Sreenan,University College Cork,2
