Name,University/Organization,Type of Chair,Conference,Year
David B. Johnson,Rice University,Steering Committee,MobiCom,2007
Giovanni Pau,University of California Los Angeles,Registration Chair,MobiCom,2007
Martha Steenstrup,Stow Research LLC,Panel Co-Chair,MobiCom,2007
Ioanis Nikolaidis,University of Alberta,Panel Co-Chair,MobiCom,2007
Thomas Kunz,Carleton University,Tutorial Co-Chair,MobiCom,2007
Ivan Stojmenovic,University of Ottawa,Workshop Co-Chair,MobiCom,2007
Symeon Papavassiliou,National Technical U of Athens,Workshop Co-Chair,MobiCom,2007
Paolo Penna,University of Salerno,Student Poster/Competition Co-Chair,MobiCom,2007
Samuel Pierre,EPM,Local Arrangment Chair,MobiCom,2007
Alejandro Quintero,EPM,Local Arrangment Chair,MobiCom,2007
Andrew Miles,Carleton University,Web Designer,MobiCom,2007
Paul Boone,Carleton University,Web Designer,MobiCom,2007
Farooq Anjum,Telcordia Tech.,Program Committee,MobiCom,2007
Victor Bahl,Microsoft Research,Program Committee,MobiCom,2007
Suman Banerjee,University of Wisconsin,Program Committee,MobiCom,2007
Stefano Basagni,Northeastern University,Program Committee,MobiCom,2007
Elizabeth Belding,University of California Santa Barbara,Program Committee,MobiCom,2007
Guohong Cao,Pennsylvania State University,Program Committee,MobiCom,2007
Yan Chen,Northwestern University,Program Committee,MobiCom,2007
Samir Das,SUNY at Stony Brook,Program Committee,MobiCom,2007
Tamer ElBatt,San Diego Research Center,Program Committee,MobiCom,2007
Anthony Ephremides,University of Maryland,Program Committee,MobiCom,2007
J.J Garcia-Luna-Aceves,University of California Santa Cruz,Program Committee,MobiCom,2007
Mario Gerla,University of California Los Angeles,Program Committee,MobiCom,2007
Ramesh Govindan,University of Southern California,Program Committee,MobiCom,2007
Jennifer Hou,University of Illinois Urbana Champaign,Program Committee,MobiCom,2007
Ravi Jain,Google,Program Committee,MobiCom,2007
Anthony Joseph,University of California Berkeley,Program Committee,MobiCom,2007
Sneha Kasera,University of Utah,Program Committee,MobiCom,2007
Edward Knightly,Rice University,Program Committee,MobiCom,2007
David Kotz,Dartmouth College,Program Committee,MobiCom,2007
Srikanth Krishnamurthy,University of California Riverside,Program Committee,MobiCom,2007
Rajesh Krishnan,BBN Technologies,Program Committee,MobiCom,2007
Sung-Ju Lee,HP Labs,Program Committee,MobiCom,2007
Li (Erran) Li,Bell Labs,Program Committee,MobiCom,2007
Xiang-Yang Li,Illinois Institute of Technology,Program Committee,MobiCom,2007
Ben Liang,University of Toronto,Program Committee,MobiCom,2007
Songwu Lu,University of California Los Angeles,Program Committee,MobiCom,2007
Ibrahim Matta,Boston University,Program Committee,MobiCom,2007
Prasant Mohapatra,University of California Davis,Program Committee,MobiCom,2007
Mehul Motani,National University of Singapore,Program Committee,MobiCom,2007
Thyaga Nandagopal,Bell Labs,Program Committee,MobiCom,2007
Jason Nieh,Columbia University and VMware,Program Committee,MobiCom,2007
Guevara Noubir,Northeastern University,Program Committee,MobiCom,2007
Chiara Petrioli,"University of Rome ""La Sapienza""",Program Committee,MobiCom,2007
Lili Qiu,University of Texas Austin,Program Committee,MobiCom,2007
Ram Ramanathan,BBN Technologies,Program Committee,MobiCom,2007
Ramachandran Ramjee,Microsoft Research India,Program Committee,MobiCom,2007
Volkan Rodoplu,University of California Santa Barbara,Program Committee,MobiCom,2007
Ashutosh Sabharwal,Rice University,Program Committee,MobiCom,2007
Ness Shroff,Purdue University,Program Committee,MobiCom,2007
Raghupathy Sivakumar,Georgia Institute of Technology,Program Committee,MobiCom,2007
Alex Snoeren,University of California San Diego,Program Committee,MobiCom,2007
Peter Steenkiste,Carnegie Mellon University,Program Committee,MobiCom,2007
Martha Steenstrup,Clemson University/Stow Research L.L.C.,Program Committee,MobiCom,2007
Violet Syrotiuk,Arizona State University,Program Committee,MobiCom,2007
Mineo Takai,University of CaliforniaLos Angeles,Program Committee,MobiCom,2007
Gil Zussman,Massachusetts Institute of Technology,Program Committee,MobiCom,2007
David B. Johnson,Rice University,Organizing Committee General Chair,MobiCom,2003
Anthony D. Joseph,University of California Berkeley,Program Co-Chair,MobiCom,2003
Nitin H. Vaidya,University of Illinois Urbana Champaign,Program Co-Chair,MobiCom,2003
Atul Adya,Microsoft Research,Tutorial Co-Chair,MobiCom,2003
Jean-Pierre Hubaux,EPFL,Tutorial Co-Chair,MobiCom,2003
Martha Steenstrup,Stow Research and Clemson Univ.,Panels Chair,MobiCom,2003
David A. Maltz,Carnegie Mellon University,Research Demos Chair,MobiCom,2003
Nigel Davies,Lancaster University (UK) and University of Arizona (US),Student Poster Session Co-Chair,MobiCom,2003
James Kempf,NTT DoCoMo USA Labs (US),Student Poster Session Co-Chair,MobiCom,2003
Edward W. Knightly,Rice University,Finance Chair,MobiCom,2003
John Heidemann,USC/Information Sciences Institute (US),Registration Co-Chair,MobiCom,2003
Srikanth Krishnamurthy,University of California Riverside,Registration Co-Chair,MobiCom,2003
Eyal de Lara,University of Toronto,Publicity Co-Chair,MobiCom,2003
Hiroyuki Morikawa,University of Tokyo,Publicity Co-Chair,MobiCom,2003
Vikram Srinivasan,University of California,Local Arrangements Chair,MobiCom,2003
Imrich Chlamtac,University of Texas Dallas,Steering Committee Chair,MobiCom,2003
Prathima Agrawal,Telcordia Technologies,Program Committee,MobiCom,2003
Victor Bahl,Microsoft Research,Program Committee,MobiCom,2003
Stefano Basagni,Northeastern University,Program Committee,MobiCom,2003
Elizabeth Belding-Royer,University of California Santa Barbara,Program Committee,MobiCom,2003
Saad Biaz,Auburn University,Program Committee,MobiCom,2003
Andrew Campbell,Columbia University,Program Committee,MobiCom,2003
Sajal Das,University of Texas Arlington,Program Committee,MobiCom,2003
Samir Das,State University of New York at Stony Brook (US),Program Committee,MobiCom,2003
Nigel Davies,Lancaster University,Program Committee,MobiCom,2003
Maria Ebling,IBM Research (US),Program Committee,MobiCom,2003
Anthony Ephremides,University of Maryland College Park,Program Committee,MobiCom,2003
Joe Finney,Lancaster University,Program Committee,MobiCom,2003
Stefan Fischer,TU Braunschweig,Program Committee,MobiCom,2003
J.J. Garcia-Luna-Aceves,University of California Santa Cruz,Program Committee,MobiCom,2003
Mario Gerla,University of California Los Angeles,Program Committee,MobiCom,2003
Matthias Grossglauser,EPFL,Program Committee,MobiCom,2003
Zygmunt Haas,Cornell University,Program Committee,MobiCom,2003
Ravi Jain,DoCoMo USA Labs,Program Committee,MobiCom,2003
Anthony Joseph (Co-Chair),University of California Berkeley,Program Committee,MobiCom,2003
Edward Knightly,Rice University,Program Committee,MobiCom,2003
Young-Bae Ko,Ajou University,Program Committee,MobiCom,2003
Robin Kravets,University of Illinois Urbana Champaign,Program Committee,MobiCom,2003
P.R. Kumar,University of Illinois Urbana Champaign,Program Committee,MobiCom,2003
Tom LaPorta,Pennsylvania State University,Program Committee,MobiCom,2003
Sung-Ju Lee,HP Laboratories (US),Program Committee,MobiCom,2003
Songwu Lu,University of California Los Angeles,Program Committee,MobiCom,2003
David A. Maltz,Carnegie Mellon University,Program Committee,MobiCom,2003
Siva Ram Murthy,IIT-Madras,Program Committee,MobiCom,2003
Chandra Narayanaswami,IBM,Program Committee,MobiCom,2003
Badri Nath,Rutgers University,Program Committee,MobiCom,2003
Charles Perkins,Nokia,Program Committee,MobiCom,2003
Adrian Perrig,Carnegie Mellon University,Program Committee,MobiCom,2003
Chiara Petrioli,"Universitá di Roma ""La Sapienza""",Program Committee,MobiCom,2003
Parmesh Ramanathan,University of Wisconsin Madison,Program Committee,MobiCom,2003
Ram Ramanathan,BBN Technologies,Program Committee,MobiCom,2003
Ramachandran Ramjee,Lucent Technologies,Program Committee,MobiCom,2003
Ramesh Rao,University of California San Diego,Program Committee,MobiCom,2003
Christopher Rose,Rutgers University,Program Committee,MobiCom,2003
Suresh Singh,Portland State University,Program Committee,MobiCom,2003
Raghupathy Sivakumar,Georgia Institute of Technology,Program Committee,MobiCom,2003
Alex Snoeren,University of California San Diego,Program Committee,MobiCom,2003
Martha Steenstrup,Stow Research and Clemson University,Program Committee,MobiCom,2003
Violet R. Syrotiuk,Arizona State University,Program Committee,MobiCom,2003
Leandros Tassiulas,University of Maryland College Park,Program Committee,MobiCom,2003
Don Towsley,University of Massachusetts Amherst,Program Committee,MobiCom,2003
Nitin H. Vaidya (Co-Chair),University of Illinois Urbana Champaign,Program Committee,MobiCom,2003
Helen Wang,Microsoft Research,Program Committee,MobiCom,2003
Roger Wattenhofer,ETH Zurich,Program Committee,MobiCom,2003
Jennifer Welch,Texas A&M University,Program Committee,MobiCom,2003
Adam Wolisz,TU Berlin,Program Committee,MobiCom,2003
Yongguang Zhang,HRL and University of Texas at Austin (US),Program Committee,MobiCom,2003
Taieb Znati,NSF and University of Pittsburgh (US),Program Committee,MobiCom,2003
Tom La Porta,Pennsylvania State University,Organizing Committee General Co-Chair,MobiCom,2005
Christoph Lindemann,University of Dortmund,Organizing Committee General Co-Chair,MobiCom,2005
Elizabeth Belding-Royer,Santa Barbara,Program Co-Chair,MobiCom,2005
Songwu Lu,University of California Los Angeles,Program Co-Chair,MobiCom,2005
Volker Gruhn,University of Leipzig,Industrial Liaison Co-Chair,MobiCom,2005
Venkat Padmanabhan,Microsoft Research,Industrial Liaison Co-Chair,MobiCom,2005
Guohong Cao,Pennsylvania State University,Finance Chair,MobiCom,2005
Sneha Kasera,University of Utah,Registration Chair,MobiCom,2005
Christian Bettstetter,NTT Do,Publicity Co-Chair,MobiCom,2005
CoMo,Germany,Publicity Co-Chair,MobiCom,2005
Wendi Heinzelman,University of Rochester,Publicity Co-Chair,MobiCom,2005
Suman Banerjee,University of Wisconsin,Workshop Co-Chair,MobiCom,2005
Martina Zitterbart,University of Karlsruhe,Workshop Co-Chair,MobiCom,2005
Luca Salgarelli,University of Brescia,Tutorial Chair,MobiCom,2005
Mario Gerla,University of California Los Angeles,Panels Co-Chair,MobiCom,2005
Jean-Pierre Hubaux,EPFL,Panels Co-Chair,MobiCom,2005
Dirk Westhoff,NEC Research Europe,Research Demos Chair,MobiCom,2005
Haiyun Luo,University of Illinois Urbana Champaign,Student Poster Session Chair,MobiCom,2005
Haiyun Luo,University of Illinois Urbana Champaign,ACM Student Research Competition Chair,MobiCom,2005
Dirk Westhoff,NEC Research Europe,ACM Student Research Competition Chair,MobiCom,2005
Oliver Waldhorst,University of Dortmund,Local Arrangement Chair,MobiCom,2005
Lars Littig,University of Dortmund,Web Chair,MobiCom,2005
Imrich Chlamtac,University of Texas Dallas,Steering Committee Chair,MobiCom,2005
Farooq Anjum,Telcordia Technologies,Programm Committee,MobiCom,2005
William Arbaugh,University of Maryland,Programm Committee,MobiCom,2005
Rajive Bagrodia,University of California Los Angeles,Programm Committee,MobiCom,2005
Victor Bahl,Microsoft Research,Programm Committee,MobiCom,2005
Sujata Banerjee,HP Labs,Programm Committee,MobiCom,2005
Suman Banerjee,University of Wisconsin,Programm Committee,MobiCom,2005
Stefano Basagni,Northeastern University,Programm Committee,MobiCom,2005
Ramon Caceres,IBM Research,Programm Committee,MobiCom,2005
Andrew Campbell,Columbia University,Programm Committee,MobiCom,2005
Guohong Cao,Pennsylvania State University,Programm Committee,MobiCom,2005
Carla-Fabiana Chiasserini,Politecnico di Torino,Programm Committee,MobiCom,2005
Chen-Nee Chuah,University of California Davis,Programm Committee,MobiCom,2005
Sajal Das,University of Texas Arlington,Programm Committee,MobiCom,2005
Samir Das,SUNY Stony Brook,Programm Committee,MobiCom,2005
Nigel Davies,Lancaster University,Programm Committee,MobiCom,2005
Eyal De Lara,University of Toronto,Programm Committee,MobiCom,2005
Jörg Eberspächer,TU Munich,Programm Committee,MobiCom,2005
Mario Gerla,University of California Los Angeles,Programm Committee,MobiCom,2005
Per Gunningberg,Uppsala University,Programm Committee,MobiCom,2005
Jennifer Hou,University of Illinois Urbana Champaign,Programm Committee,MobiCom,2005
Ravi Jain,NTT Docomo Labs,Programm Committee,MobiCom,2005
Anthony Joseph,University of California Berkeley,Programm Committee,MobiCom,2005
Brad Karp,Intel Research,Programm Committee,MobiCom,2005
Edward Knightly,Rice University,Programm Committee,MobiCom,2005
Robin Kravets,University of Illinois Urbana Champaign,Programm Committee,MobiCom,2005
Srikanth Krishnamurthy,University of California Riverside,Programm Committee,MobiCom,2005
Sung-Ju Lee,HP Labs,Programm Committee,MobiCom,2005
Erran Li,Bell Labs,Programm Committee,MobiCom,2005
Mingyan Liu,University of Michigan,Programm Committee,MobiCom,2005
Haiyun Luo,University of Illinois Urbana Champaign,Programm Committee,MobiCom,2005
Prasant Mohapatra,University of California Davis,Programm Committee,MobiCom,2005
Thyagarajan Nandagopal,Bell Labs,Programm Committee,MobiCom,2005
Brian Noble,University of Michigan,Programm Committee,MobiCom,2005
Chiara Petrioli,Rome University,Programm Committee,MobiCom,2005
Lili Qiu,Microsoft Research,Programm Committee,MobiCom,2005
Ram Ramjee,Bell Labs,Programm Committee,MobiCom,2005
Ramesh Rao,University of San Diego,Programm Committee,MobiCom,2005
Kurt Rothermel,University of Stuttgart,Programm Committee,MobiCom,2005
Sergio Servetto,Cornell University,Programm Committee,MobiCom,2005
Rajeev Shorey,IBM Research,Programm Committee,MobiCom,2005
Suresh Singh,Portland State University,Programm Committee,MobiCom,2005
Prasun Sinha,Ohio State University,Programm Committee,MobiCom,2005
Raghupathy Sivakumar,Gatech,Programm Committee,MobiCom,2005
Otto Spaniol,RWTH Aachen University,Programm Committee,MobiCom,2005
Martha Steenstrup,Stow Research,Programm Committee,MobiCom,2005
Violet Syrotiuk,Arizona State University,Programm Committee,MobiCom,2005
Nitin Vaidya,University of Illinois Urbana Champaign,Programm Committee,MobiCom,2005
Helen Wang,Microsoft Research,Programm Committee,MobiCom,2005
Xin Wang,Buffalo University,Programm Committee,MobiCom,2005
Roger Wattenhofer,ETH Zurich,Programm Committee,MobiCom,2005
Ty Znati,NSF,Programm Committee,MobiCom,2005
Michele Zorzi,University of Ferrara,Programm Committee,MobiCom,2005
Zygmunt J. Haas,Cornell University,Organizing Committee General Chair,MobiCom,2004
Samir R. Das,SUNY,Program Co-Chair,MobiCom,2004
Ravi Jain,DoCoMo USA Labs,Program Co-Chair,MobiCom,2004
Jens-Peter Redlich,NEC Labs,Industrial Liaison Chair,MobiCom,2004
Thomas La Porta,Pennsylvania State University,Finance Chair,MobiCom,2004
Eylem Ekici,Ohio State University,Registration Chair,MobiCom,2004
Robin Kravets,University of Illinois Urbana Champaign,Publicity Co-Chair,MobiCom,2004
Xin Wang,SUNY,Publicity Co-Chair,MobiCom,2004
Per Gunningberg,Uppsala University,Workshop Co-Chair,MobiCom,2004
Lars-Åke Larzon,Luleå University of Technology,Workshop Co-Chair,MobiCom,2004
Andrew T. Campbell,Columbia University,Tutorial Co-Chair,MobiCom,2004
Taieb Znati,University of Pittsburgh,Tutorial Co-Chair,MobiCom,2004
Prathima Agrawal,Auburn University,Panels Chair,MobiCom,2004
Tao Zhang,Telcordia Technologies,Panels Chair,MobiCom,2004
Elizabeth Belding-Royer,Santa Barbara,Research Demos Chair,MobiCom,2004
Stefano Basagni,Northeastern University,Student Poster Session Co-Chair,MobiCom,2004
Chiara Petrioli,'La Sapienza',Student Poster Session Co-Chair,MobiCom,2004
Guohong Cao,Pennsylvania State University,Local Arragement Chair,MobiCom,2004
Imrich Chlamtac,University of Texas Dallas,Steering Committee Chair,MobiCom,2004
Ginger Ignatoff,,ACM Program Director,MobiCom,2004
Arup Acharya,IBM Research,Program Committee,MobiCom,2004
Farooq Anjum,Telcordia,Program Committee,MobiCom,2004
Victor Bahl,Microsoft Research,Program Committee,MobiCom,2004
Sujata Banerjee,HP Labs,Program Committee,MobiCom,2004
Amotz Bar-Noy,Brooklyn College,Program Committee,MobiCom,2004
Stefano Basagni,Northeastern University,Program Committee,MobiCom,2004
Elizabeth Belding-Royer,Santa Barbara,Program Committee,MobiCom,2004
Ramon Caceres,IBM Research,Program Committee,MobiCom,2004
Guohong Cao,Pennsylvania State University,Program Committee,MobiCom,2004
Carla-Fabiana Chiasserini,Politecnico di Torino,Program Committee,MobiCom,2004
Sajal Das,University of Texas Arlington,Program Committee,MobiCom,2004
Nigel Davies,Lancaster University,Program Committee,MobiCom,2004
Eyal  De Lara,University of Toronto,Program Committee,MobiCom,2004
Mario Gerla,Los Angeles,Program Committee,MobiCom,2004
Per Gunninberg,Uppsala University,Program Committee,MobiCom,2004
Jennifer Hou,University of Illinois Urbana Champaign,Program Committee,MobiCom,2004
Jean-Pierre Hubaux,Lausanne,Program Committee,MobiCom,2004
Anthony Joseph,Berkeley,Program Committee,MobiCom,2004
Brad Karp,Intel Research/Carnegie Mellon University,Program Committee,MobiCom,2004
Sneha Kasera,University of Utah,Program Committee,MobiCom,2004
Edward Knightly,Rice University,Program Committee,MobiCom,2004
David Kotz,Dartmouth College,Program Committee,MobiCom,2004
Robin Kravets,University of Illinois Urbana Champaign,Program Committee,MobiCom,2004
Tom La Porta,Pennsylvania State University,Program Committee,MobiCom,2004
T. V. Lakshman,Bell Labs,Program Committee,MobiCom,2004
Sung-Ju Lee,HP Laboratories,Program Committee,MobiCom,2004
Erran Li Li,Bell Labs,Program Committee,MobiCom,2004
Songwu Lu,Los Angeles,Program Committee,MobiCom,2004
Archan Misra,IBM Research,Program Committee,MobiCom,2004
Prasant Mohapatra,Davis,Program Committee,MobiCom,2004
Thyagarajan Nandagopal,Bell Labs,Program Committee,MobiCom,2004
Badri Nath,Rutgers University,Program Committee,MobiCom,2004
Brian Noble,University of Michigan,Program Committee,MobiCom,2004
Adrian Perrig,Carnegie Mellon University,Program Committee,MobiCom,2004
Chiara Petrioli,"Universitá di Roma ""La Sapienza""",Program Committee,MobiCom,2004
Dhananjay Phatak,Baltimore County,Program Committee,MobiCom,2004
Ram Ramjee,Bell Labs,Program Committee,MobiCom,2004
Ramesh Rao,San Diego,Program Committee,MobiCom,2004
Jason Redi,BBN,Program Committee,MobiCom,2004
Manuel Roman,DoCoMo USA Labs,Program Committee,MobiCom,2004
Sergio Servetto,Cornell University,Program Committee,MobiCom,2004
Srini Seshan,Carnegie Mellon University,Program Committee,MobiCom,2004
Rajeev Shorey,National University of Singapore,Program Committee,MobiCom,2004
Suresh Singh,Portland State University,Program Committee,MobiCom,2004
Prasun Sinha,Ohio State University,Program Committee,MobiCom,2004
Raghupathy Sivakumar,Georgia Tech,Program Committee,MobiCom,2004
Morris Sloman,London,Program Committee,MobiCom,2004
Martha Steenstrup,Stow Research/Clemson University,Program Committee,MobiCom,2004
Violet Syrotiuk,Arizona State University,Program Committee,MobiCom,2004
Yu-Chee Tseng,National Chiao Tung University,Program Committee,MobiCom,2004
Fouad Tobagi,Stanford,Program Committee,MobiCom,2004
Andras Valko,Ericsson Research,Program Committee,MobiCom,2004
Xin Wang,SUNY,Program Committee,MobiCom,2004
Roger Wattenhofer,Zurich,Program Committee,MobiCom,2004
Adam  Wolisz,TU Berlin,Program Committee,MobiCom,2004
Taieb Znati,NSF/University of Pittsburgh,Program Committee,MobiCom,2004
Michele Zorzi,Universita'di Ferrara,Program Committee,MobiCom,2004
Ian F. Akyildiz,Georgia Institute of Technology,General Chair,MobiCom,2002
Jason Y. B. Lin,National Chiao Tung University,General Vice-Chair,MobiCom,2002
Ravi Jain,DoCoMo USA Labs,General Vice-Chair,MobiCom,2002
Vaduvur Bharghavan,Meru Networks,Program Co-Chair,MobiCom,2002
Andrew T. Campbell,Columbia University,Program Co-Chair,MobiCom,2002
Imrich Chlamtac,University of Texas Dallas,Steering Committee Chair,MobiCom,2002
Ness Shroff,Purdue University,Panels Co-Chair,MobiCom,2002
Marie-Jose Montpetit,MJMontpetit.com,Panels Co-Chair,MobiCom,2002
Catherine Rosenberg,Purdue University,Tutorials Co-Chair,MobiCom,2002
Nitin Vaidya,University of Illinois Urbana Champaign,Tutorials Co-Chair,MobiCom,2002
Taieb Znati,NSF and University of Pittsburgh,Workshop Co-Chair,MobiCom,2002
Mehmet Ulema,Manhattan College,Workshop Co-Chair,MobiCom,2002
Ron Hutchins,Georgia Institute of Technology,Research Demos Chair,MobiCom,2002
Edward Knightly,Rice University,Finance Chair,MobiCom,2002
Suresh Singh,Portland State University,Registration Co-Chair,MobiCom,2002
Robin Kravets,University of Illinois Urbana Champaign,Registration Co-Chair,MobiCom,2002
Ramesh Govindan,University of Southern California,Sponsorship/Exhibit Chair,MobiCom,2002
Chuanyi Ji,Georgia Institute of Technology,Publicity Co-Chair,MobiCom,2002
Marwan Krunz,University of Arizona,Publicity Co-Chair,MobiCom,2002
Elizabeth M. Belding-Royer,University of California Santa Barbara,Student Poster Co-Chair,MobiCom,2002
Sung-Ju Lee,HP Laboratories,Student Poster Co-Chair,MobiCom,2002
Yuguang Fang,University of Florida,Student Travel Award Co-Chair,MobiCom,2002
Violet R. Syrotiuk,University of Texas Dallas,Student Travel Award Co-Chair,MobiCom,2002
Raghupathy Sivakumar,Georgia Institute of Technology,Local Arrangements Chair,MobiCom,2002
Michael E. Kounavis,Columbia University,Webmaster,MobiCom,2002
Stephen T. Chou,Columbia University,Webmaster,MobiCom,2002
Arup Acharya,IBM Research,Program Committee,MobiCom,2002
Prathima Agrawal,Telcordia,Program Committee,MobiCom,2002
B. R. Badrinath,Rutgers University,Program Committee,MobiCom,2002
Victor Bahl,Microsoft Research,Program Committee,MobiCom,2002
Stefano Basagni,Northeastern University,Program Committee,MobiCom,2002
Roberto Battiti,University of Trento,Program Committee,MobiCom,2002
Pravin Bhagwat,ReefEdge,Program Committee,MobiCom,2002
Scott Corson,Flarion,Program Committee,MobiCom,2002
Sajal Das,University Texas at Arlington,Program Committee,MobiCom,2002
Nigel Davies,Lancaster University,Program Committee,MobiCom,2002
Dan Duchamp,Stevens Institute of Technology,Program Committee,MobiCom,2002
Maria Ebling,IBM Research,Program Committee,MobiCom,2002
Magda El-Zarki,University of California Irvine,Program Committee,MobiCom,2002
Anthony Ephremides,University of Maryland,Program Committee,MobiCom,2002
Deborah Estrin,University of CaliforniaLos Angeles,Program Committee,MobiCom,2002
Kang G. Shin,University of Michigan,Program Committee,MobiCom,2002
J.J. Garcia-Luna-Aceves,University of California Santa Cruz,Program Committee,MobiCom,2002
Mario Gerla,University of CaliforniaLos Angeles,Program Committee,MobiCom,2002
Ramesh Govindan,USC/ISI,Program Committee,MobiCom,2002
Ravi Jain,DoCoMo USA Labs,Program Committee,MobiCom,2002
David B. Johnson,Rice University,Program Committee,MobiCom,2002
Anthony Joseph,University of California Berkeley,Program Committee,MobiCom,2002
Edward Knightly,Rice University,Program Committee,MobiCom,2002
Tom LaPorta,Lucent Technologies,Program Committee,MobiCom,2002
Songwu Lu,University of CaliforniaLos Angeles,Program Committee,MobiCom,2002
Robert Morris,Massachusetts Institute of Technology,Program Committee,MobiCom,2002
S. Muthukrishnan,AT&T Research,Program Committee,MobiCom,2002
Brian Noble,University of Michigan,Program Committee,MobiCom,2002
Venkat Padmanabhan,Microsoft Research,Program Committee,MobiCom,2002
Charles Perkins,Nokia,Program Committee,MobiCom,2002
Chiara Petrioli,"Universit ""La Sapienza""",Program Committee,MobiCom,2002
George Polyzos,Athens University of Economics and Business,Program Committee,MobiCom,2002
Parmesh Ramanathan,University of Wisconsin - Madison,Program Committee,MobiCom,2002
Ram Ramanathan,BBN Technologies,Program Committee,MobiCom,2002
Ramachandran Ramjee,Lucent Technologies,Program Committee,MobiCom,2002
Daniela Rus,Dartmouth College,Program Committee,MobiCom,2002
Srinivasan Seshan,Carnegie Mellon University,Program Committee,MobiCom,2002
Suresh Singh,Portland State University,Program Committee,MobiCom,2002
Leandros Tassiulas,University of Maryland,Program Committee,MobiCom,2002
Mani Srivastava,University of CaliforniaLos Angeles,Program Committee,MobiCom,2002
Frank Stajano,Cambridge University,Program Committee,MobiCom,2002
Martha Steenstrup,Stow Research,Program Committee,MobiCom,2002
Violet R. Syrotiuk,University of Texas Dallas,Program Committee,MobiCom,2002
Fouad A. Tobagi,Stanford,Program Committee,MobiCom,2002
Nitin H. Vaidya,University of Illinois Urbana Champaign,Program Committee,MobiCom,2002
Andras Valko,Ericsson Research,Program Committee,MobiCom,2002
Adam Wolisz,TU Berlin,Program Committee,MobiCom,2002
Michele Zorzi,Universita di Ferrara,Program Committee,MobiCom,2002
Rajeev Shorey,TCS Research & Innovation,Organizing Committee General Co-Chair,MobiCom,2018
Rohan Murty,Soroco,Organizing Committee General Co-Chair,MobiCom,2018
Yingying,Rutgers University,Technical Program Co-Chair,MobiCom,2018
Kyle Jamieson,Princeton University,Technical Program Co-Chair,MobiCom,2018
Archan Misra,SMU,Workshops Co-Chair,MobiCom,2018
Nic Lane,University of Oxford and Nokia Bell Labs,Workshops Co-Chair,MobiCom,2018
Abhinav Kumar,IIT Hyderabad,Posters Co-Chair,MobiCom,2018
Prasant Misra,TCS Research & Innovation,Posters Co-Chair,MobiCom,2018
Amit Kumar Saha,CISCO,Demo Chair,MobiCom,2018
Giridhar Mandyam,Qualcomm,SRC Chair,MobiCom,2018
Vinay Ribeiro,IIT Delhi,Finance Chair,MobiCom,2018
Vinayak Naik,IIIT Delhi,Publicity Co-Chair,MobiCom,2018
He Wang,Purdue University,Publicity Co-Chair,MobiCom,2018
Kirill Kogan,IMDEA Networks,Publicity Co-Chair,MobiCom,2018
Wen Hu,UNSW,Publicity Co-Chair,MobiCom,2018
Binbin Chen,ADSC,Publicity Co-Chair,MobiCom,2018
Rohit Verma,IIT Kharagpur,Web Chair,MobiCom,2018
Vivek Bohara,IIIT Delhi,Local Arrangements Co-Chair,MobiCom,2018
Rijurekha Sen,IIT Delhi,Local Arrangements Co-Chair,MobiCom,2018
Yuanjie Li,University of California Los Angeles,Social-media Chair,MobiCom,2018
Robert Likamwa,Arizona State University,Mobile App Competition Co-Chair,MobiCom,2018
Sayandeep Sen,IBM Research,Mobile App Competition Co-Chair,MobiCom,2018
Haitham Hassanieh,University of Illinois Urbana Champaign,App Chair,MobiCom,2018
Swarun Kumar,Carnegie Mellon University,MobiJob Event Chair,MobiCom,2018
Niky Riga,Facebook,N2Women Co-Chair,MobiCom,2018
Meng Jin,Tsinghua University,N2Women Co-Chair,MobiCom,2018
Gaurav Kasbekar,IIT Bombay,Student Travel Grants Co-Chair,MobiCom,2018
Carlee Joe-Wong,Carnegie Mellon University,Student Travel Grants Co-Chair,MobiCom,2018
Longfei Shangguan,Princeton & MSR,Publication Co-Chair,MobiCom,2018
Yan Wang,SUNY Binghamton,Publication Co-Chair,MobiCom,2018
Chandrika Shridhar,IISc Bangalore,Registration Chair,MobiCom,2018
Anurag Kumar,IISc Bangalore,Advisory Committee,MobiCom,2018
Uday Desai,IIT Hyderabad,Advisory Committee,MobiCom,2018
Huzur Saran,IIT Delhi,Advisory Committee,MobiCom,2018
Krithi Ramamritham,IIT Bombay,Advisory Committee,MobiCom,2018
B. M. Baveja,MeitY,Advisory Committee,MobiCom,2018
Victor Bahl,Microsoft Research,Steering Committee,MobiCom,2018
Suman Banerjee,University of Wisconsin Madison,Steering Committee,MobiCom,2018
Ramesh Govindan,University of Southern California,Steering Committee,MobiCom,2018
David B. Johnson,Rice University,Steering Committee,MobiCom,2018
Kang Shin,University of Michigan,Steering Committee,MobiCom,2018
Heather Zheng,University of Chicago,Steering Committee,MobiCom,2018
Fadel Adib,Massachusetts Institute of Technology,Technical Program Committee,MobiCom,2018
Sharad Agarwal,Microsoft Research,Technical Program Committee,MobiCom,2018
Ehsan Aryafar,Portland State University,Technical Program Committee,MobiCom,2018
Victor Bahl,Microsoft Research,Technical Program Committee,MobiCom,2018
Aruna Balasubramanian,Stony Brook University,Technical Program Committee,MobiCom,2018
Suman Banerjee,University of Wisconsin Madison,Technical Program Committee,MobiCom,2018
Dinesh Bharadia,University of California San Diego,Technical Program Committee,MobiCom,2018
