Name,University/Organization,Type of Chair,Conference,Year
Aruna   Balasubramanian,University of Washington,Program Committee,MobiCom,2011
Nilanjan        Banerjee,University of Arkansas,Program Committee,MobiCom,2011
Yigal   Bejerano,Bell Labs,Program Committee,MobiCom,2011
Elizabeth       Belding,University of California Santa Barbara,Program Committee,MobiCom,2011
Milind  Buddhikot,Bell Labs,Program Committee,MobiCom,2011
Sunghyun        Choi,Seoul National University,Program Committee,MobiCom,2011
Romit   Choudhury,Duke University,Program Committee,MobiCom,2011
Mark    Corner,University of Massachusetts Amherst,Program Committee,MobiCom,2011
Landon  Cox,Duke University,Program Committee,MobiCom,2011
Samir   Das,Stony Brook University,Program Committee,MobiCom,2011
Nigel   Davies,Lancaster University,Program Committee,MobiCom,2011
Prabal  Dutta,University of Michigan,Program Committee,MobiCom,2011
Deepak  Ganesan,University of Massachusetts Amherst,Program Committee,MobiCom,2011
Ben     Greenstein,Google,Program Committee,MobiCom,2011
Marco   Gruteser,Rutgers University,Program Committee,MobiCom,2011
Himanshu        Gupta,Stony Brook University,Program Committee,MobiCom,2011
Dina    Kitabi,Massachusetts Institute of Technology,Program Committee,MobiCom,2011
Edward  Knightly,Rice University,Program Committee,MobiCom,2011
Yunhao  Liu,Hong Kong University of Science and Technology,Program Committee,MobiCom,2011
Cecilia         Mascolo,University of Cambridge,Program Committee,MobiCom,2011
Patrick McDaniel,Pennsylvania State University,Program Committee,MobiCom,2011
Thomas  Moscibroda,Microsoft Research,Program Committee,MobiCom,2011
Peng    Ning,North Carolina State University,Program Committee,MobiCom,2011
Brian   Noble,University of Michigan,Program Committee,MobiCom,2011
Dina    Papagiannaki,Intel Labs Pittsburgh,Program Committee,MobiCom,2011
Lili    Qiu,University of Texas Austin,Program Committee,MobiCom,2011
Bhaskaran       Raman,Indian Institute of Technology Bombay,Program Committee,MobiCom,2011
Ramachandran    Ramjee,Microsoft Research India,Program Committee,MobiCom,2011
Anmol   Sheth,Intel Labs Settle,Program Committee,MobiCom,2011
Prasun  Sinha,Ohio State University,Program Committee,MobiCom,2011
Raghupathy      Sivakumar,Georgia Institute of Technology,Program Committee,MobiCom,2011
Ashwin  Sridharan,AT&T,Program Committee,MobiCom,2011
Vikram  Srinivasan,Bell Labs India,Program Committee,MobiCom,2011
Peter   Steenkiste,Carnegie Mellon University,Program Committee,MobiCom,2011
Karthik Sundaresan,NEC Labs,Program Committee,MobiCom,2011
Kun     Tan,Microsoft Research Asia,Program Committee,MobiCom,2011
Moustafa        Youssef,Egypt- Japan University of Science and Technology,Program Committee,MobiCom,2011
