Name,University/Organization,No_of_times_as_TPC
Stefan Saroiu,Microsoft Research,2
Giovanni Stea,University of Pisa,1
Karthikeyan Sundaresan,NEC Laboratories America,1
Nina Taft,Intel Research Berkeley,1
Leandros Tassiulas,University of ssaly,1
Jon Turner,Washington University,4
Darryl Veitch,University of Melbourne,1
Jia Wang,AT&T Labs - Research,1
Amgad Zeitoun,Inc.,1
Krishna Gummadi,MPI,1
Farnam Jahanian,UMich,1
Ramana Kompella,Purdue,1
Martin May,Thomson,1
Rob Sherwood,T-Labs,1
Venkat Padmanabhan,Microsoft Research,5
George Varghese,UCSD,1
Virgilio Almeida,UFMG,1
Mostafa Ammar,Georgia Tech,1
Fabián E. Bustamante,Northwestern University,1
Krishna Chintalapudi,Microsoft Research India,1
Romit Roy Choudhury,Duke University,1
Mark Crovella,Boston University,4
Bruce Davie,Nicira Networks,1
Jeff Dean,Google,1
Kevin Fall,Qualcomm,1
Nick Feamster,University of Maryland,1
Sergey Gorinsky,Institute IMDEA Networks,1
Ramana Kompella,Purdue University,1
Craig Labovitz,Deep Field Networks,1
T. V. Lakshman,Alcatel-Lucent,1
Kirill Levchenko,University of California San Diego,1
Dave Levin,HP Labs,1
Bruce Maggs,Duke University and Akamai Technologies,1
Ratul Mahajan,Microsoft Research Redmond,1
Dave Maltz,Microsoft,1
University of Michigan,USA,1
Mike Mitzenmacher,Harvard University,1
Craig Partridge,Raytheon BBN Technologies,1
Lili Qiu,UT Austin,2
K. K. Ramakrishnan,AT&T Labs Research,1
Ant Rowstron,Microsoft Research Cambridge,1
Hovav Shacham,University of California San Diego,1
Emin Gün Sirer,Cornell University,4
Lakshmi Subramanian,New York University,2
Renata Teixeira,CNRS and UMPC Sorbonne Universities,1
Kobus Van der Merwe,AT&T Labs - Research,1
Haifeng Yu,National University of Singapore,3
Raj Yavatkar,Intel Corporation,1
Jennifer Rexford,AT&T Labs -- Research,1
Joe Touch,University of Southern California,1
Chris Edmondson-Yurkanan,University of Texas Austin,1
Christophe Diot,Intel Corporation,1
Harrick Vin,University of Texas Austin,1
Prashant Shenoy,University of Massachusetts Amherst,2
Tilman Wolf,University of Massachusetts Amherst,1
Allyn Romanow,Cisco Systems,1
Marcel Waldvogel,IBM Research,1
Wu-chang Feng,OGI School of Engineering,1
Bobby Bhattacharjee,University of Maryland,1
Ken Calvert,University of Kentucky,2
Constantinos Dovrolis,Georgia  Institute of Technology,1
Anja Feldmann,Technical University of Munich,1
Lixin Gao,University of Massachusetts-Amherst,1
Jorg Leibeherr,University of Virginia,1
Jay Lepreau,University of Utah,1
Steve McCanne,Riverbed Technology,1
Vern Paxson,ICSI Center for Internet Research,1
Antony Rowstron,Microsoft Corporation,1
Srini Seshan,Carnegie Mellon University,3
Alex Snoeren,University of California at San Diego,1
R. Srikant,University of Illinois Urbana Champaign,1
Ion Stoica,University of California at Berkeley,1
Nina Taft,Intel Corporation,1
Yin Zhang,AT&T Research,1
Zhi-li Zhang,University of Minnesota,1
Victor Bahl,Microsoft Research,1
David Wetherall,Intel / University of Washington,2
Suman Banerjee,University of Wisconsin at Madison,2
Kenjiro Cho,IIJ Research Laboratory,2
Karen R. Sollins,Massachusetts Institute of Technology,1
C. de Oliveira,Drexel University,1
Tristan Henderson,University of St Andrews,2
Dave Andersen,Carnegie Mellon University,1
Flavio Bonomi,Cisco,1
Peter Druschel,MPI-SWS,1
Anja Feldmann,T-Labs,1
Paul Francis,Cornell,1
Albert Greenberg,Microsoft Research,1
John Lockwood,Stanford,1
Allison Mankin,National Science Foundation,1
Greg Minshall,University of Washington,1
Eugene Ng,Rice University,1
Niels Provos,Google,2
Sanjoy Rao,Purdue University,1
Michael Reiter,UNC,1
Luigi Rizzo,Universita di Pisa,1
Dawn Song,University of California Berkeley,1
Klaus Wehrle,Aachen University,1
Xiaowei Yang,University of California Irvine,1
Y. Richard Yang,Yale University,1
Konstantina Papagiannaki,Intel Research,1
Kevin Almeroth,UC Santa Barbara,1
Michaelis Faloutsos,University of California Riverside,1
Christos Gkantsidis,Microsoft Research,1
Ben Greenstein,Intel Research,1
David Malone,Hamilton Institute,1
Pablo Rodriguez,Telefonica,2
Stefan Saroiu,University of Toronto,1
Ivan Seskar,WINLAB,1
Ross Anderson,University of Cambridge,1
David Clark,Massachusetts Institute of Technology,2
Christophe Diot,Intel Cambridge Research Lab,1
David Hutchison,Lancaster University,1
Sugih Jamin,University of Michigan,1
Frans Kaashoek,Massachusetts Institute of Technology,1
Randy Katz,University of California Berkeley,1
Steven McCanne,NBT Technologies,1
Greg Minshall,unaffiliated,1
Balaji Prabhakar,Stanford,2
Antony Rowstron,Microsoft Research,2
Joe Sventek,Agilent Technologies,1
David Tennenhouse,Intel Research,1
Jon Turner,Washinton University,1
Ian Wakeman,University of Sussex,1
Jennifer Yates,AT&T Labs-Research,1
Hui Zhang,Turin Networks and CMU,1
Jianping Wu,Tsinghua University,1
Wendy Hall,University of Southampton,1
Yong Cui,Tsinghua University,1
Xiangyang Li,USTC,1
John Heidemann,USC/ISI,2
Lixin Gao,University of Massachusetts,2
Srinivasan Keshav,University of Waterloo,2
Lixia Zhang,UCLA,1
Xiaoming Fu,University of Goettingen,1
Zhili Zhang,University of Minnesota,1
Gaogang Xie,ICT,1
Kai Chen,HKUST,2
Jörg Ott,Technical University of Munich,1
Mingwei Xu,Tsinghua University,1
Wei Bai,Microsoft Research,1
Wenfei Wu,Tsinghua University,1
Xia Yin,Tsinghua University,1
Xiaochun Yun,CNCERT,1
Deke Guo,NUDT,1
Chenren Xu,Peking University,1
Ke Xu,Tsinghua University,1
Xiuzhen Cheng,George Washington University,1
Paolo Costa,Microsoft Research,1
Yanyong Zhang,USTC,1
Lan Wang,University of Memphis,2
Hongqiang Liu,Alibaba,1
Hongbin Luo,BUAA,1
Sheng Zhong,Nanjing University,1
Yongqiang Xiong,Microsoft Research,1
Xin Jin,Johns Hopkins University,1
Huadong Ma,BUPT,1
Dan Wang,Hong Kong Polytechnic University,1
Timothy Wood,George Washington University,1
Junzhou Luo,Southeast University,1
Kui Ren,Zhejiang University,1
Kun Tan,Huawei,2
Jiangchuan Liu,Simon Fraser University,1
Steve Uhlig,University of London,1
Omid Abari,Waterloo,1
Aditya Akella,UWM,1
Mark Allman,ICSI,1
Aruna Balasubramanian,Stony Brook,1
Paul Barford,UWisc,1
ophilus Benson,Brown University,1
Nathan Bronson,Facebook,1
Lars Eggert,NetApp,2
Kensuke Fukuda,NII,1
Manya Ghobadi,Massachusetts Institute of Technology,1
Phillipa Gill,University of Massachusetts Amherst,1
Dongsu Han,KAIST,1
Polly Huang,Nanyang Technological University,1
Te-yuan Huang,Netflix,1
Kyle Jamieson,Princeton University,1
Keon Jang,MPI-SWS/Google,1
Mobin Javed,LUMS,1
Sanjay Jha,University New South Wales,1
Junchen Jiang,University Chicago,1
Ethan Katz-Bassett,Columbia,1
Ali Khayam,Amazon,1
Dejan Kostic,KTH Royal Institute of Technology,1
Nikos Laoutaris,IMDEA Networks Institute,1
Simon Leinen,SWITCH,1
Dan Li,Tsinghua,1
Mike Liang,Microsoft Research,1
Bruce Maggs,Duke/Akamai,1
Radhika Mittal,University of Illinois Urbana Champaign/Massachusetts Institute of Technology,1
Michael Mitzenmacher,Harvard,1
Srinivas Narayana,Rutgers,1
Aurojit Panda,New York University,1
Zafar Ayyub Qazi,LUMS,1
Reza Rejaie,University Oregon,1
Philipp Richter,Massachusetts Institute of Technology,1
Michael Schapira,Hebrew University of Jerusalem,2
Ricardo Schmidt,University Passo Fundo,1
Justine Sherry,Carnegie Mellon University,3
Ankit Singla,ETH Zurich,3
Anirudh Sivaraman,New York University,1
Alex C. Snoeren,University of California San Diego,3
Robert Soulé,Università della Svizzera italiana,1
Laurent Vanbever,ETH Zurich,2
Minlan Yu,Harvard,1
Ben Zhao,University Chicago,1
Giovanni Stea,Università di Pisa,1
Gianluca Iannaccone,Intel Research Cambridge,2
Serge Fdida,University Paris,1
Marco Conti,IIT-CNR,1
Chris Edmondson-Yurkannan,University of Texas Austin,1
Dan Blumenthal,University of California,1
Flavio Bonomi,Cisco Systems,1
John Chuang,University of California Berkeley,1
Bruce Davie,Cisco Systems,1
Peter Druschel,MPI for Software Systems,1
Anja Feldmann,Technical University Muenchen,1
Albert Greenberg,ATT Labs Research,1
Mark Handley,University College London,3
Ramesh Johari,Stanford,2
Jim Kurose,University of Massachusetts Amherst,1
Arnaud Legout,INRIA,1
Vishal Misra,Columbia University,3
Dave Oran,Cisco Systems,1
Vern Paxson,International Computer Science Institute,1
Scott Shenker,University of California Berkeley,3
George Varghese,University of California,1
Arun Venkataramani,University of Massachusetts Amherst,1
Paulo Verissimo,University of Lisboa,1
Walter Willinger,AT&T Labs-Research,1
Amin Vahdat,UCSD and Google,1
Suman Banerjee,University of Wisconsin Madison,2
o Benson,Duke University,2
Ranjita Bhagwan,Microsoft,1
Fabián Bustamante,Northwestern University,1
Nick Feamster,Princeton University,1
Deepak Ganesan,University of Massachusetts Amherst,1
Yashar Ganjali,University of Toronto,4
Phillipa Gill,Stony Broook University,1
Sergey Gorisnky,IMDEA Networks Institute,1
Teemu Koponen,VMWare,1
Swarun Kumar,Carnegie Mellon University,1
Alex Liu,Michigan State University,1
Harsha Madhyastha,University of Michigan,1
Bruce Maggs,Duke University,1
Ratul Mahajan,Microsoft,1
Jeff Mogul,Google,1
Radhika Niranjan Mysore,Google,1
Venkat Padmanabhan,Microsoft,1
George Papen,University of California San Diego,2
Joshua Smith,University of Washington,1
Pramod Vishwanath,University of Illinois Urbana-Champaign,1
David Wetherall,Google & University of Washington,1
Matei Zaharia,Massachusetts Institute of Technology,1
Ming Zhang,Alibaba Group,2
Jörg Liebeherr,University of Toronto,1
Jeffrey Mogul,HP Labs,2
Martin Karsten,University of Waterloo,1
Aditya Akella,University of Wisconsin-Madison,1
Stratis Ioannidis,Technicolor,1
Nicolas Christin,Carnegie Mellon University,1
Arun Venkataramani,University of Massachusetts,1
Giorgio Ventre,University of Napoli,1
Georgios Smaragdakis,Deutsche Telekom Labs & TU Berlin,1
Constantinos Dovrolis,Georgia Tech,1
Will Eatherton,Juniper Networks,1
Michael Freedman,Princeton University,1
Matthias Grossglauser,EPFL,1
John Heidemann,USC/Information Sciences Institute,2
Sachin KattiStanford,University,1
Balachander Krishnamurthy,AT&T Labs - Research,1
Nikolaos Laoutaris,Telefonica Research,2
David Oran,Cisco,2
Byrav Ramamurthy,University of Nebraska-Lincoln,1
Danny Raz,Technion,1
Scott RixnerRice,University,1
Timothy Roscoe,ETH Zurich,1
Mema Roussopoulos,University of Athens,1
Devavrat Shah,Massachusetts Institute of Technology,1
Vijay Sivaraman,University of New South Wales,1
Amin Vahdat,Google / University of California San Diego,1
Gordon Wilfong,Bell Labs Research,1
Walter Willinger,AT&T Labs - Research,2
Alec Wolman,Microsoft Research,1
Yinglian Xie,Microsoft Research,1
Yongguang Zhang,Microsoft Research,1
Heather Zheng,University of California Santa Barbara,1
Shivkumar Kalyanaraman,IBM Research,1
K.K. Ramakrishnan,AT&T Labs Research,2
Rajeev Shorey,NIIT University,1
Geoffrey M. Voelker,San Diego,1
Vinay Ribeiro,IIT Delhi,1
Sudipta Maitra,IBM Daksh,1
Jim Kurose,Amherst,1
Ranjita Bhagwan,Microsoft Research,2
Neil Spring,College Park,1
Kevin Almeroth,Santa Barbara,1
Huzur Saran,IIT Delhi,1
Aaditeshwar Seth,IIT Delhi,1
Sergey Gorinsky,Madrid Institute for Advanced Studies in Networks (IMDEA Networks),1
Carla-Fabiana Chiasserini,Politecnico di Torino,1
Krishna Sivalingam,IIT Madras,1
Partha Dutta,IBM Research,1
B.N. Jain,IIT Delhi,1
Anurag Kumar,Bangalore,1
K.K. Ramakrishnan,AT&T Labs - Research,1
Kevin Almeroth,University of California Santa Barbara,1
Ramon Caceres,AT&T Labs - Research,1
Reuven Cohen,Technion,1
Cristian Estan,NetLogic Microsystem,1
Timothy G. Griffin,University of Cambridge,1
Chuanxiong Guo,Microsoft Research Asia,1
Kevin Jeffay,University of North Carolina,1
Murali Kodialam,Bell Labs,1
Srikanth Krishnamurthy,University of California Riverside,1
Joy Kuri,Indian Institute of Science,1
Cristina Nita-Rotaru,Purdue University,1
Jitendra Padhye,Microsoft Research Redmond,1
Ram Ramjee,Microsoft Research,1
Antony Rowstron,Microsoft Research Cambridge,1
Aman Shaikh,AT&T Labs - Research,1
