Name,University/Organization,No_of_times_as_TPC
Andrea Richa,Arizona State University,1
Christian Schindelhauer,University of Paderborn,1
Sergio Servetto,Cornell University,2
Lothar Thiele,ETH Zurich,1
Srikanta Tirthapura,Iowa State,1
Saswati Sarkar,University of Penn.,1
Scott R. Graham,Air Force Institute of Technology,1
Richard J. La,University of Maryland,1
Marco Conti,Consiglio Nazionale delle Ricerche,1
Sunghyun Choi,Seoul National University,1
Wai Gen Yee,Illinois Institute of Technology,1
Yongguang Zhang,HRL Labs,1
A. Chockalingam,IISc Bangalore,1
D. Manjunath,IIT Bombay,1
Aditya Gopalan,Technion,1
Krishna Jagannathan,IIT Madras,1
T V Prabhakar,IISc Bangalore,1
Zainul M Charbiwala,IBM Research,1
Nishanth Sastry,King's College London,1
Vinay Joseph Ribeiro,IIT Delhi,1
Chandrika Sridhar,IISC Bangalore,1
Kameswari Chebrolu,IIT Bombay,1
RangaRao Venkatesha Prasad,TU Delft,3
Vasilis Sourlas,CERTH,1
Rakesh Chavan,IIT Bombay,1
Stefano Avallone,University of Naples,1
Srikrishna Bhashyam,IIT Madras,1
Ioannis Broustis,AT&T Labs Research,1
Prasanna Chaporkar,IIT Bombay,1
Zainul Charbiwala,IBM India Research Lab,1
Song Chong,KAIST,1
Onkar Dabeer,TIFR Mumbai,1
Vijay Erramilli,Telefonika,1
Radha Krishna Ganti,IIT Madras,1
Ravi Kokku,IBM Research,1
Hemant Kowshik,IBM India Research Lab,1
Nikhil Karamchandani,USC/UCSD,1
Can Emre Koksal,Ohio State University,1
Iordanis Koutsopoulos,CERTH,1
Douglas Leith,Hamilton,1
Jorg Liebeherr,University of Toronto,2
Jun Luo,Nanyang Technological University,2
Anand Muralidhar,Bell Labs,1
Jayakrishnan Unnikrishnan Nair,California Institute of Technology,1
Samuel C. Nelson,BBN Technologies,1
Max Ott,NICTA,1
George Paschos,Massachusetts Institute of Technology,1
Vinod Prabhakaran,TIFT Mumbai,1
Gaurav Raina,IIT Madras,1
Venkatesh Ramaiyan,IIT Madras,1
Bhaskaran Raman,IIT Bombay,1
Vinay Ribeiro,IIT Delhi,1
Vinod Sharma,IISc Bangalore,1
Shreyas Sundaram,University of Waterloo,1
Vassilis Tsaoussidis,Democritus University of Thrace,1
Rahul Urgaonkar,BBN Technologies,1
Rahul Vaze,TIFR Mumbai,1
Chiara Petrioli,University of Rome La Sapienza,1
Ness B. Shroff,,1
Martha Steenstrup,Stow Research L.L.C,3
Simone Silvestri,University of Kentucky,1
Giovanni Neglia,French Institute for Research in Computer Science and Automation (inria),1
Gaia Maselli,Sapienza University of Rome,1
Ilenia Tinnirello,University of Palermo,1
Serge Fdida,UPMC Sorbonne University & CNRS,1
Marco Ajmone Marsan,Politecnico di Torino & IMDEA Networks Institute,1
Ting He,Penn State University,1
John C.S. Lui,Chinese University of Hong Kong,1
Vijay Subramanian,University of Michigan,1
Chee Wei Tan,HongKong City University,1
Chul-Ho Lee,Florida Institute of Technology,1
David Malone,Maynooth University,1
Fan Wu,Shanghai Jiao Tong University,1
Gauri Joshi,Carnegie Mellon University,1
Hamidreza Tavafoghi,University of California Berkeley,1
Hongbo Jiang,Hunan University,1
James Cruise,Heriot-Watt University,1
Joongheon Kim,Chung-Ang University,1
Kyunghan Lee,UNIST,1
Luo Yi Fu,Shanghai Jiao Tong University,1
Maria Gorlatova,Duke University,1
Parinaz Naghizadeh,Purdue University,1
Rahul Urgaonkar,Amazon,1
Rahul Vaze,Tata Institute of Fundamental Research,1
Rajeev Agrawal,Nokia,1
Rajesh Sundaresan,Indian Institute of Science,1
Richard Coombes,Supelec,1
Seva Shneer,Heriot-Watt University,1
Soumya Sen,University of Minnesota,1
Vaneet Aggarwal,Purdue University,1
Vivek Borkar,Mumbai,1
Weina Wang,Carnegie Mellon University,1
Sherman Shen,University of Waterloo,1
Youxian Sun,Zhejiang University,1
Jiming Chen,Zhejiang University,3
Gil Zussman,Columbia University. USA,1
P. R. Kumar,Texas A&M University,1
Nei Kato,Tohoku University,1
Zhisheng Niu,Tsinghua University,1
Peng Cheng,Zhejiang University,1
Guiyi Wei,Zhejiang Gongshang University,1
Minghui Shi,CIPO,1
Xinbing Wang,Shanghai Jiangtong University,1
Lei Yang,Arizona State University,1
Donghoon Shin,Arizona State University,1
Catherine Rosenberg,University of Waterloo,1
Xiaodong Lin,UOIT,1
Satyajayant Misra,New Mexico State University,1
Yu Cheng,IIT,1
Guy Grebla,Columbia University,2
Xianghui Cao,IIT,1
Kai Xing,USTC,1
Sangheon Pack,Korean University,1
Zhaoyang Zhang,Zhejiang University,1
Matthew Andrews,Alcatel-Lucent,1
Yigal Bejerano,Alcatel-Lucent,1
Zhipeng Cai,Georgia State University,1
Xu Chen,University of Goettingen,1
Seth Gilbert,National University of Singapore,1
Stephen Hanly,Macquarie University,1
David Hay,Hebrew University of Jerusalem,1
Fabian Kuhn,Albert-Ludwigs-Universität,1
T.V. Lakshman,Alcatel-Lucent,1
Ilias Leontiadis,Telefonica I+D,1
Wenjing Lou,Virginia Institute of Technology,1
Ruben Merz,Group Strategy & Innovation,1
Ariel Orda,Technion,1
Panagiotis (Panos) Papadimitratos,KTH,2
Alexandre Proutiere,KTH,1
Souvik Sen,HP Labs,2
Peter van de Ven,IBM Thomas J. Watson Research Center,1
Nitin Vaidya,Texas A&M University,1
Leonard Kleinrock,UCLA/Nomadix,1
Victor O.K. Li,USC/HKU,1
Katia Obraczka,USC/ISI,2
Sung-Ju Lee,University of California Los Angeles,1
Elizabeth M. Royer,University of California Santa Barbara,1
Bruce Worthman,IEEE,1
J.J. Garcia-Luna-Aceves,UCSC,2
Martha Steenstrup,BBN Technologies,1
Nitin H. Vaidya,Texas A&M University,1
Deborah Estrin,University of Southern California,1
Zygmunt Haas,Cornell,1
Parviz Kermani,IBM Research,1
Stephen Pink,University of Arizona,1
Deepak Ayyagari,Sharp Labs,1
Elizabeth Belding-Royer,University of California,1
Ezio Biglieri,Politecnico di Torino,1
Tamer Elbatt,HRL Laboratories,1
J.J. Garcia-Luna-Aceves,University of California,1
John Heidemann,USC/ISI,1
Ryuji Kohno,Yokohama National University,1
Gam Nguyen,NRL,1
Charles Perkins,Nokia,1
Adrian Perrig,Carnegie Mellon University,1
Chiara Petrioli,University of Rome,1
Cauligi Raghavendra,University of Southern California,1
Parmesh Ramanathan,University of Wisconsin Madison,1
Ramesh Rao,University of California San Diego,1
Chandrasekar Sankaran,Motorola,1
Curt Schurgers,University of California San Diego,1
Satish Tripathi,University of California Riverside,1
Jeff Wieselthier,NRL,1
Mani Srivastava,University of California Los Angeles,1
Magda El Zarki,University of California Irvine,1
Edward Knightly,Rice University,1
Sung-Ju Lee,HP,1
Michele Zorzi,Universita'di Ferrara,1
Richard La,University of Maryland College Park,1
Sennur Ulukus,University of Maryland College Park,1
Jie Wu,Temple University,1
Mooi-Choo Chuah,Lehigh University,1
Shaojie Tang,Temple University,2
Robert Kline,West Chester University,1
Zhen Jiang,West Chester University,1
Yunhao Liu,Tsinghua University,1
Venkatesha Prasad,TU Delft,1
Avinash Srinivasan,George Mason University,1
Feng Li,IUPUI,1
Sem Borst,Alcatel-Lucent,1
Gruia Calinescu,Illinois Institute of Technology,1
Zihui Ge,AT&T Labs - Research,1
Marco Gruteser,WINLAB / Rutgers University,1
Wenjun Hu,Microsoft Research Asia,1
Bo Ji,AT&T Bell Labs,1
Sneha Kasera,University of Utah,1
Li (Erran) Li,Bell Labs,1
Alex Liu,Michigan State University,1
Songwu Lu,University of California at Los Angeles,1
Jayakrishnan Nair,California Institute of Technology,1
Vishnu Navda,Microsoft Research,1
Alexandre Proutiere,Microsoft Research,1
Kui Ren,SUNY Buffalo,1
Sudipta Sengupta,Microsoft Research,1
Bo Sheng,University of Massachusetts Boston,1
Jinwoo Shin,KAIST,1
Evgenia Smirni,College of William and Mary,1
Thrasyvoulos Spyropoulos,EURECOM,1
Chiu Tan,Temple University,1
Kun Tan,Microsoft Research Asia,1
Bhuvan Urgaonkar,Pennsylvania State University,1
Jia Wang,AT&T Labs - Research,1
Wenye Wang,NC State University,1
Carey Williamson,University of Calgary,1
Hongyi Wu,University of Louisiana at Lafayette,1
Mingjun Xiao,University of Science and Technology of China,1
Panlong Yang,Institute of Communication Engineering,1
Zheng Yang,Tsinghua University,1
Xinyu Zhang,University of Wisconsin-Madison,1
Xia Zhou,Dartmouth,1
